variant_id,product_id,variant_type,variant_name,unit_cost,unit_price
1,1,Color,Space Gray,111.97,193.05
2,1,Color,Black,109.07,188.05
3,2,Color,Black,47.51,81.92
4,2,Color,Space Gray,50.41,86.92
5,3,Color,Black,76.9,132.59
6,3,Bundle,+ Cable Kit,85.6,147.59
7,4,Color,Black,48.91,84.33
8,4,Color,Space Gray,51.81,89.33
9,4,Bundle,+ Cable Kit,57.61,99.33
10,4,Color,White,48.91,84.33
11,5,Color,Space Gray,50.0,86.21
12,5,Color,Black,47.1,81.21
13,5,Bundle,+ Cable Kit,55.8,96.21
14,5,Color,White,47.1,81.21
15,6,Color,White,64.82,111.76
16,6,Bundle,+ Cable Kit,73.52,126.76
17,7,Color,Black,29.61,51.06
18,7,Color,White,29.61,51.06
19,7,Color,Space Gray,32.51,56.06
20,8,Bundle,+ Cable Kit,112.49,193.95
21,8,Color,Space Gray,106.69,183.95
22,9,Color,Black,32.96,56.83
23,9,Color,Space Gray,35.86,61.83
24,9,Color,White,32.96,56.83
25,10,Color,Space Gray,140.07,241.5
26,10,Bundle,+ Cable Kit,145.87,251.5
27,10,Color,Black,137.17,236.5
28,10,Color,White,137.17,236.5
29,11,Color,Space Gray,24.18,41.69
30,11,Color,Black,21.28,36.69
31,12,Bundle,+ Cable Kit,149.7,258.11
32,12,Color,White,141.0,243.11
33,13,Color,White,81.56,140.62
34,13,Bundle,+ Cable Kit,90.26,155.62
35,13,Color,Space Gray,84.46,145.62
36,14,Color,Black,45.48,78.42
37,14,Color,Space Gray,48.38,83.42
38,14,Bundle,+ Cable Kit,54.18,93.42
39,15,Color,White,93.5,161.21
40,15,Bundle,+ Cable Kit,102.2,176.21
41,16,Color,White,70.62,121.76
42,16,Color,Space Gray,73.52,126.76
43,16,Bundle,+ Cable Kit,79.32,136.76
44,16,Color,Black,70.62,121.76
45,17,Color,Space Gray,51.28,88.41
46,17,Color,White,48.38,83.41
47,18,Color,Space Gray,57.0,98.27
48,18,Color,Black,54.1,93.27
49,19,Bundle,+ Cable Kit,120.14,207.14
50,19,Color,Black,111.44,192.14
51,19,Color,White,111.44,192.14
52,20,Color,Space Gray,38.05,65.61
53,20,Bundle,+ Cable Kit,43.85,75.61
54,20,Color,White,35.15,60.61
55,20,Color,Black,35.15,60.61
56,21,Color,Natural,42.24,72.82
57,21,Size,Small,39.34,67.82
58,22,Size,Medium,80.6,138.97
59,22,Size,Large,86.4,148.97
60,23,Size,Small,19.65,33.88
61,23,Size,Medium,22.55,38.88
62,23,Size,Large,28.35,48.88
63,24,Size,Large,70.82,122.11
64,24,Color,Natural,65.02,112.11
65,24,Size,Small,62.12,107.11
66,25,Size,Large,79.05,136.29
67,25,Color,Natural,73.25,126.29
68,26,Color,Natural,40.11,69.15
69,26,Size,Small,37.21,64.15
70,26,Size,Medium,40.11,69.15
71,27,Size,Medium,7.28,12.55
72,27,Size,Large,13.08,22.55
73,27,Size,Small,4.38,7.55
74,28,Size,Medium,91.79,158.25
75,28,Size,Small,88.89,153.25
76,28,Color,Natural,91.79,158.25
77,29,Size,Small,78.36,135.1
78,29,Size,Large,87.06,150.1
79,29,Size,Medium,81.26,140.1
80,29,Color,Natural,81.26,140.1
81,30,Size,Large,14.66,25.27
82,30,Size,Small,5.96,10.27
83,30,Color,Natural,8.86,15.27
84,31,Size,Small,27.53,47.47
85,31,Color,Natural,30.43,52.47
86,31,Size,Medium,30.43,52.47
87,31,Size,Large,36.23,62.47
88,32,Size,Medium,102.25,176.3
89,32,Size,Small,99.35,171.3
90,32,Color,Natural,102.25,176.3
91,32,Size,Large,108.05,186.3
92,33,Color,Natural,32.79,56.53
93,33,Size,Small,29.89,51.53
94,33,Size,Large,38.59,66.53
95,33,Size,Medium,32.79,56.53
96,34,Color,Natural,45.84,79.03
97,34,Size,Large,51.64,89.03
98,34,Size,Medium,45.84,79.03
99,35,Size,Small,15.85,27.33
100,35,Size,Medium,18.75,32.33
101,36,Size,Medium,9.01,15.53
102,36,Size,Large,14.81,25.53
103,36,Size,Small,6.11,10.53
104,36,Color,Natural,9.01,15.53
105,37,Size,Medium,13.88,23.93
106,37,Size,Small,10.98,18.93
107,38,Size,Small,92.28,159.11
108,38,Size,Large,100.98,174.11
109,38,Color,Natural,95.18,164.11
110,39,Size,Medium,34.09,58.78
111,39,Size,Large,39.89,68.78
112,39,Size,Small,31.19,53.78
113,40,Color,Natural,77.44,133.52
114,40,Size,Small,74.54,128.52
115,40,Size,Medium,77.44,133.52
116,40,Size,Large,83.24,143.52
117,41,Scent,Unscented,13.14,22.66
118,41,Pack,2-pack,23.58,40.66
119,42,Pack,1-pack,23.56,40.62
120,42,Pack,3-pack,42.12,72.62
121,42,Scent,Unscented,23.56,40.62
122,43,Pack,1-pack,7.35,12.67
123,43,Scent,Unscented,7.35,12.67
124,43,Pack,3-pack,25.91,44.67
125,44,Pack,2-pack,23.58,40.65
126,44,Scent,Unscented,13.14,22.65
127,44,Pack,1-pack,13.14,22.65
128,45,Pack,1-pack,17.08,29.45
129,45,Pack,2-pack,27.52,47.45
130,46,Pack,1-pack,40.73,70.22
131,46,Scent,Unscented,40.73,70.22
132,46,Pack,3-pack,59.29,102.22
133,46,Pack,2-pack,51.17,88.22
134,47,Pack,2-pack,56.45,97.33
135,47,Scent,Unscented,46.01,79.33
136,48,Scent,Unscented,26.33,45.39
137,48,Pack,1-pack,26.33,45.39
138,49,Scent,Unscented,11.99,20.68
139,49,Pack,2-pack,22.43,38.68
140,50,Pack,3-pack,64.58,111.34
141,50,Pack,2-pack,56.46,97.34
142,50,Scent,Unscented,46.02,79.34
143,51,Pack,2-pack,21.99,37.92
144,51,Pack,1-pack,11.55,19.92
145,51,Pack,3-pack,30.11,51.92
146,52,Pack,1-pack,38.04,65.59
147,52,Pack,3-pack,56.6,97.59
148,53,Pack,2-pack,36.37,62.71
149,53,Pack,1-pack,25.93,44.71
150,53,Pack,3-pack,44.49,76.71
151,53,Scent,Unscented,25.93,44.71
152,54,Pack,2-pack,18.14,31.28
153,54,Scent,Unscented,7.7,13.28
154,55,Pack,2-pack,20.43,35.23
155,55,Pack,3-pack,28.55,49.23
156,55,Pack,1-pack,9.99,17.23
157,55,Scent,Unscented,9.99,17.23
158,56,Pack,3-pack,41.92,72.28
159,56,Pack,2-pack,33.8,58.28
160,56,Pack,1-pack,23.36,40.28
161,56,Scent,Unscented,23.36,40.28
162,57,Pack,2-pack,25.74,44.38
163,57,Pack,3-pack,33.86,58.38
164,57,Scent,Unscented,15.3,26.38
165,58,Pack,1-pack,25.06,43.21
166,58,Pack,2-pack,35.5,61.21
167,59,Pack,1-pack,32.38,55.83
168,59,Scent,Unscented,32.38,55.83
169,59,Pack,3-pack,50.94,87.83
170,59,Pack,2-pack,42.82,73.83
171,60,Pack,1-pack,10.56,18.2
172,60,Scent,Unscented,10.56,18.2
173,60,Pack,2-pack,21.0,36.2
174,61,Size,L/XL,42.25,72.85
175,61,Color,Black,40.51,69.85
176,61,Size,S/M,38.77,66.85
177,62,Size,L/XL,88.89,153.25
178,62,Color,Black,87.15,150.25
179,62,Size,S/M,85.41,147.25
180,62,Size,M/L,87.15,150.25
181,63,Size,M/L,38.01,65.54
182,63,Color,Black,38.01,65.54
183,64,Size,L/XL,41.86,72.17
184,64,Size,S/M,38.38,66.17
185,65,Color,Black,89.53,154.37
186,65,Size,M/L,89.53,154.37
187,65,Size,S/M,87.79,151.37
188,66,Size,L/XL,18.78,32.38
189,66,Size,S/M,15.3,26.38
190,66,Color,Black,17.04,29.38
191,67,Size,L/XL,48.17,83.05
192,67,Size,S/M,44.69,77.05
193,68,Color,Black,96.08,165.66
194,68,Size,L/XL,97.82,168.66
195,68,Size,S/M,94.34,162.66
196,68,Size,M/L,96.08,165.66
197,69,Size,S/M,13.22,22.8
