promo_id,promo_code,discount_type,discount_value,start_date,end_date
1,WELCOME22,percentage,10.0,2022-01-10,2022-01-31
2,VDAY22,percentage,15.0,2022-02-10,2022-02-14
3,SUMMER22,fixed,10.0,2022-06-15,2022-07-05
4,BTS22,percentage,12.0,2022-08-01,2022-09-05
5,BFCM22,percentage,25.0,2022-11-25,2022-11-28
6,HOLIDAY22,percentage,20.0,2022-12-15,2022-12-26
7,NEWYEAR23,percentage,10.0,2023-01-02,2023-01-15
8,SPRINGSALE23,fixed,15.0,2023-03-20,2023-04-02
9,SUMMER23,percentage,12.0,2023-06-20,2023-07-10
10,BTS23,percentage,15.0,2023-08-01,2023-09-10
11,BFCM23,percentage,28.0,2023-11-24,2023-11-27
12,HOLIDAY23,percentage,22.0,2023-12-14,2023-12-26
13,NEWYEAR24,percentage,10.0,2024-01-02,2024-01-14
14,VDAY24,percentage,18.0,2024-02-08,2024-02-14
15,SPRINGSALE24,fixed,20.0,2024-03-25,2024-04-07
16,BTS24,percentage,15.0,2024-08-01,2024-09-08
17,BFCM24,percentage,30.0,2024-11-29,2024-12-02
18,HOLIDAY24,percentage,25.0,2024-12-13,2024-12-26
