return_detail_id,return_id,product_id,qty,reason,unit_return_amount
1,1,70,1,Damaged in shipping,122.86
2,2,1,1,Defective product,183.4
3,3,18,1,Better price found,93.36
4,4,10,1,Damaged in shipping,224.67
5,5,9,1,Changed mind,58.74
6,6,27,3,Duplicate order,11.92
7,7,17,1,Gift return,79.24
8,8,92,1,Defective product,59.61
9,9,6,1,Duplicate order,120.42
10,10,22,1,Wrong item received,132.02
11,11,92,1,Size/fit issue,57.71
12,12,14,1,Defective product,79.25
13,13,3,2,Defective product,125.96
14,14,4,2,Quality not as expected,84.86
15,15,53,1,Damaged in shipping,72.87
16,16,65,1,Damaged in shipping,146.65
17,17,95,1,Duplicate order,9.39
18,18,8,1,Not as described,174.75
19,19,58,1,Defective product,58.15
20,20,73,2,Not as described,188.74
21,21,58,1,Wrong item received,41.05
22,22,47,1,Damaged in shipping,92.46
23,23,5,2,Changed mind,77.15
24,24,10,1,Quality not as expected,224.67
25,25,91,1,Wrong item received,22.48
26,26,8,1,Better price found,184.25
27,27,53,1,Better price found,42.47
28,28,8,1,Wrong item received,184.25
29,29,11,1,Damaged in shipping,39.61
30,30,14,3,Quality not as expected,88.75
31,31,54,1,Gift return,29.72
32,32,36,1,Duplicate order,14.75
33,33,38,2,Size/fit issue,155.9
34,34,24,1,Size/fit issue,116.0
35,35,58,1,Size/fit issue,41.05
36,36,7,2,Not as described,53.26
37,37,15,1,Gift return,153.15
38,38,7,1,Wrong item received,48.51
39,39,74,2,Not as described,201.4
40,40,21,2,Wrong item received,64.43
41,41,40,1,Not as described,126.84
42,42,11,1,Duplicate order,39.61
43,43,97,1,Changed mind,37.59
44,44,6,2,Defective product,106.17
45,45,7,2,Size/fit issue,48.51
46,46,84,1,Better price found,36.44
47,47,86,1,Damaged in shipping,81.42
48,48,68,1,Duplicate order,154.53
49,49,18,2,Wrong item received,93.36
50,50,4,1,Not as described,94.36
51,51,54,2,Not as described,12.62
52,52,73,2,Damaged in shipping,185.89
53,53,46,1,Quality not as expected,66.71
54,54,9,4,Duplicate order,58.74
55,55,19,1,Duplicate order,196.78
56,56,3,2,Wrong item received,140.21
57,57,70,1,Damaged in shipping,122.86
58,58,31,1,Defective product,49.85
59,59,71,1,Damaged in shipping,17.84
