state_id,region_id,state_code,state_name,tax_rate
1,1,NY,New York,0.08
2,1,NJ,New Jersey,0.07
3,1,MA,Massachusetts,0.0625
4,1,CT,Connecticut,0.0635
5,2,FL,Florida,0.06
6,2,GA,Georgia,0.04
7,2,NC,North Carolina,0.0475
8,2,SC,South Carolina,0.06
9,3,IL,Illinois,0.0625
10,3,OH,Ohio,0.0575
11,3,MI,Michigan,0.06
12,3,MN,Minnesota,0.06875
13,4,TX,Texas,0.0625
14,4,OK,Oklahoma,0.045
15,4,LA,Louisiana,0.0445
16,4,AR,Arkansas,0.065
17,5,CA,California,0.0725
18,5,OR,Oregon,0.0
19,5,WA,Washington,0.065
20,5,NV,Nevada,0.0685
21,6,AZ,Arizona,0.056
22,6,NM,New Mexico,0.05125
23,6,CO,Colorado,0.029
24,6,UT,Utah,0.0485
