order_id,date_id,order_date,customer_id,channel_id,promo_id,subtotal,discount_amount,tax_rate,total
1,1,2022-01-01,1796,3,NULL,81.32,0,0.065,86.61
2,1,2022-01-01,1778,2,NULL,742.8,0,0.07,794.8
3,1,2022-01-01,747,2,,440.57,0,0.0575,465.9
4,2,2022-01-02,803,2,,305.55,0,0.0685,326.48
5,2,2022-01-02,1824,2,,902.1,0,0.08,974.27
6,2,2022-01-02,643,2,,619.25,0,0.05125,650.99
7,3,2022-01-03,782,2,,646.16,0,0.0445,674.91
8,3,2022-01-03,812,1,,69.38,0,0.065,73.89
9,3,2022-01-03,199,3,,731.41,0,0,731.41
10,4,2022-01-04,1733,2,,90.8,0,0,90.8
11,4,2022-01-04,1769,3,,103.88,0,0.06,110.11
12,4,2022-01-04,1110,1,,327.69,0,0.08,353.91
13,5,2022-01-05,1688,1,,103.87,0,0.0485,108.91
14,5,2022-01-05,1682,3,,543.08,0,0.065,578.38
15,5,2022-01-05,1087,2,,320.67,0,0.06875,342.72
16,6,2022-01-06,803,1,,337.49,0,0.0685,360.61
17,6,2022-01-06,798,3,,222.8,0,0.0575,235.61
18,6,2022-01-06,838,1,,567.48,0,0.0685,606.35
19,7,2022-01-07,1,2,,620.68,0,0.0685,663.2
20,7,2022-01-07,1769,2,,827.82,0,0.06,877.49
21,7,2022-01-07,1757,2,,280.5,0,0.08,302.94
22,8,2022-01-08,1179,1,,163.45,0,0.06,173.26
23,8,2022-01-08,708,1,,203.08,0,0.04,211.2
24,8,2022-01-08,135,2,,844.19,0,0.0635,897.8
25,9,2022-01-09,519,3,,510.28,0,0.0725,547.28
26,9,2022-01-09,135,3,,1567.8,0,0.0635,1667.36
27,9,2022-01-09,143,1,,336.95,0,0.0625,358.01
28,10,2022-01-10,629,3,,71.32,0,0.0685,76.21
29,10,2022-01-10,1187,1,,272.89,0,0.065,290.63
30,10,2022-01-10,1798,3,1,326.55,36.28,0.08,352.67
31,11,2022-01-11,479,3,,1233.25,0,0.0625,1310.33
32,11,2022-01-11,1068,1,,158.35,0,0.0475,165.87
33,11,2022-01-11,1496,1,,183.95,0,0.056,194.25
34,12,2022-01-12,1292,3,,461.73,0,0.0625,490.59
35,12,2022-01-12,1160,3,,566.72,0,0.06,600.72
36,12,2022-01-12,973,2,,522.95,0,0.029,538.12
37,13,2022-01-13,438,2,1,125.07,13.9,0.0445,130.64
38,13,2022-01-13,357,2,1,525.56,58.38,0.0485,551.05
39,13,2022-01-13,861,3,1,539.71,59.98,0.0685,576.68
40,14,2022-01-14,68,2,,381.76,0,0.0625,405.62
41,14,2022-01-14,1309,3,,172.35,0,0.0725,184.85
42,14,2022-01-14,463,2,1,384.72,42.74,0.065,409.73
43,15,2022-01-15,225,2,1,437.69,48.63,0.0475,458.48
44,15,2022-01-15,1388,3,,92.44,0,0.07,98.91
45,15,2022-01-15,840,2,,58.38,0,0.0625,62.03
46,16,2022-01-16,1254,3,,527.29,0,0.0625,560.25
47,16,2022-01-16,792,2,,193.05,0,0.0625,205.12
48,16,2022-01-16,811,3,1,1157.98,128.69,0.0625,1230.35
49,17,2022-01-17,248,1,,1366.7,0,0.0635,1453.49
50,17,2022-01-17,1113,3,,673.51,0,0.06,713.92
51,17,2022-01-17,82,3,1,408.69,45.42,0.029,420.54
52,18,2022-01-18,91,2,,1470.61,0,0.08,1588.26
53,18,2022-01-18,314,2,,828.97,0,0.06875,885.96
54,18,2022-01-18,1169,2,1,694.65,77.2,0.0725,745.01
55,18,2022-01-18,1687,1,,649.38,0,0.06,688.34
56,19,2022-01-19,1953,3,,97.41,0,0.06875,104.11
57,19,2022-01-19,915,3,,215.02,0,0.06875,229.8
58,19,2022-01-19,1391,3,,9.88,0,0.0725,10.6
59,20,2022-01-20,973,2,1,489.21,54.35,0.029,503.4
60,20,2022-01-20,534,2,,621.88,0,0.045,649.86
61,20,2022-01-20,1374,1,,380.53,0,0.0575,402.41
62,21,2022-01-21,1595,2,,156.23,0,0.04,162.48
63,21,2022-01-21,1986,3,1,95.36,10.6,0.045,99.65
64,21,2022-01-21,263,1,,267.23,0,0.06875,285.6
65,22,2022-01-22,162,3,,1053.64,0,0.0445,1100.53
66,22,2022-01-22,1344,1,,236.5,0,0.029,243.36
67,22,2022-01-22,706,2,,55.83,0,0.0625,59.32
68,23,2022-01-23,1683,3,,595.88,0,0.0635,633.72
69,23,2022-01-23,1052,1,,63,0,0.065,67.09
70,23,2022-01-23,82,1,1,1653.72,183.77,0.029,1701.68
71,24,2022-01-24,895,1,,91.1,0,0.0485,95.52
72,24,2022-01-24,892,1,,29.45,0,0.04,30.63
73,24,2022-01-24,37,1,1,227.7,25.29,0.0625,241.93
74,25,2022-01-25,753,1,1,26.51,2.94,0.0725,28.43
75,25,2022-01-25,1857,1,,273.17,0,0.0685,291.88
76,25,2022-01-25,403,1,,941.58,0,0.0485,987.25
77,26,2022-01-26,1570,3,,905.02,0,0.065,963.85
78,26,2022-01-26,1757,2,,47.32,0,0.08,51.11
79,26,2022-01-26,1977,2,,368.52,0,0.0625,391.55
80,27,2022-01-27,459,1,,1276.71,0,0.08,1378.85
