order_detail_id,order_id,product_id,variant_id,qty,unit_price,unit_discount,line_total
1,1,41,118,2,40.66,0.0,81.32
2,2,89,253,1,73.85,0.0,73.85
3,2,69,197,1,22.8,0.0,22.8
4,2,76,214,1,66.03,0.0,66.03
5,2,12,32,2,243.11,0.0,486.22
6,2,71,202,5,18.78,0.0,93.9
7,3,13,34,2,155.62,0.0,311.24
8,3,70,200,1,129.33,0.0,129.33
9,4,9,23,1,61.83,0.0,61.83
10,4,75,212,1,50.67,0.0,50.67
11,4,1,1,1,193.05,0.0,193.05
12,5,51,145,2,51.92,0.0,103.84
13,5,17,45,2,88.41,0.0,176.82
14,5,76,214,4,66.03,0.0,264.12
15,5,4,8,4,89.33,0.0,357.32
16,6,25,66,3,136.29,0.0,408.87
17,6,24,64,1,112.11,0.0,112.11
18,6,18,47,1,98.27,0.0,98.27
19,7,10,28,1,236.5,0.0,236.5
20,7,74,209,1,215.0,0.0,215.0
21,7,47,134,2,97.33,0.0,194.66
22,8,27,73,1,7.55,0.0,7.55
23,8,9,23,1,61.83,0.0,61.83
24,9,27,73,4,7.55,0.0,30.2
25,9,22,58,3,138.97,0.0,416.91
26,9,89,253,3,73.85,0.0,221.55
27,9,27,71,5,12.55,0.0,62.75
28,10,88,250,2,45.4,0.0,90.8
29,11,39,110,1,58.78,0.0,58.78
30,11,27,72,2,22.55,0.0,45.1
31,12,87,247,4,64.46,0.0,257.84
32,12,61,175,1,69.85,0.0,69.85
33,13,5,12,1,81.21,0.0,81.21
34,13,41,117,1,22.66,0.0,22.66
35,14,9,22,2,56.83,0.0,113.66
36,14,87,247,2,64.46,0.0,128.92
37,14,62,180,2,150.25,0.0,300.5
38,15,12,31,1,258.11,0.0,258.11
39,15,54,152,2,31.28,0.0,62.56
40,16,45,129,4,47.45,0.0,189.8
41,16,55,155,3,49.23,0.0,147.69
42,17,87,249,1,78.46,0.0,78.46
43,17,64,183,2,72.17,0.0,144.34
44,18,78,219,2,80.43,0.0,160.86
45,18,68,195,2,162.66,0.0,325.32
46,18,44,125,2,40.65,0.0,81.3
47,19,50,140,4,111.34,0.0,445.36
48,19,27,73,3,7.55,0.0,22.65
49,19,87,247,1,64.46,0.0,64.46
50,19,27,71,4,12.55,0.0,50.2
51,19,43,123,3,12.67,0.0,38.01
52,20,32,88,1,176.3,0.0,176.3
53,20,33,92,1,56.53,0.0,56.53
54,20,52,147,5,97.59,0.0,487.95
55,20,36,101,1,15.53,0.0,15.53
56,20,43,122,2,12.67,0.0,25.34
57,20,64,184,1,66.17,0.0,66.17
58,21,17,46,1,83.41,0.0,83.41
59,21,9,24,2,56.83,0.0,113.66
60,21,78,218,1,83.43,0.0,83.43
61,22,6,16,1,126.76,0.0,126.76
62,22,11,30,1,36.69,0.0,36.69
63,23,41,118,2,40.66,0.0,81.32
64,23,16,41,1,121.76,0.0,121.76
65,24,85,240,1,18.14,0.0,18.14
66,24,6,15,3,111.76,0.0,335.28
67,24,92,264,3,62.75,0.0,188.25
68,24,86,246,3,85.71,0.0,257.13
69,24,48,136,1,45.39,0.0,45.39
70,25,67,192,1,77.05,0.0,77.05
71,25,6,16,2,126.76,0.0,253.52
72,25,43,122,2,12.67,0.0,25.34
73,25,65,185,1,154.37,0.0,154.37
74,26,12,32,3,243.11,0.0,729.33
75,26,68,194,3,168.66,0.0,505.98
76,26,97,280,3,39.57,0.0,118.71
77,26,66,188,3,32.38,0.0,97.14
78,26,23,61,3,38.88,0.0,116.64
79,27,30,82,3,10.27,0.0,30.81
80,27,39,112,3,53.78,0.0,161.34
81,27,60,173,4,36.2,0.0,144.8
82,28,91,259,2,35.66,0.0,71.32
83,29,65,187,1,151.37,0.0,151.37
84,29,52,147,1,97.59,0.0,97.59
85,29,37,105,1,23.93,0.0,23.93
86,30,79,221,2,148.61,14.86,267.5
87,30,20,52,1,65.61,6.56,59.05
88,31,54,152,2,31.28,0.0,62.56
89,31,96,275,3,92.44,0.0,277.32
90,31,24,63,2,122.11,0.0,244.22
91,31,22,58,4,138.97,0.0,555.88
92,31,18,48,1,93.27,0.0,93.27
93,32,92,263,1,60.75,0.0,60.75
94,32,51,143,1,37.92,0.0,37.92
95,32,93,267,2,29.84,0.0,59.68
96,33,8,21,1,183.95,0.0,183.95
97,34,13,35,2,145.62,0.0,291.24
98,34,9,22,3,56.83,0.0,170.49
99,35,80,225,2,213.05,0.0,426.1
100,35,13,33,1,140.62,0.0,140.62
101,36,1,2,2,188.05,0.0,376.1
102,36,21,57,1,67.82,0.0,67.82
103,36,34,96,1,79.03,0.0,79.03
104,37,22,58,1,138.97,13.9,125.07
105,38,14,37,5,83.42,8.34,375.4
106,38,14,37,2,83.42,8.34,150.16
107,39,3,5,2,132.59,13.26,238.66
108,39,6,15,2,111.76,11.18,201.16
109,39,52,146,1,65.59,6.56,59.03
110,39,88,250,1,45.4,4.54,40.86
111,40,4,8,2,89.33,0.0,178.66
112,40,42,119,5,40.62,0.0,203.1
113,41,53,150,2,76.71,0.0,153.42
114,41,37,106,1,18.93,0.0,18.93
115,42,14,38,4,93.42,9.34,336.32
116,42,39,112,1,53.78,5.38,48.4
117,43,2,3,5,81.92,8.19,368.65
118,43,84,238,2,38.36,3.84,69.04
119,44,96,275,1,92.44,0.0,92.44
120,45,57,163,1,58.38,0.0,58.38
121,46,58,165,5,43.21,0.0,216.05
122,46,13,34,2,155.62,0.0,311.24
123,47,1,1,1,193.05,0.0,193.05
124,48,2,4,2,86.92,8.69,156.46
125,48,68,196,4,165.66,16.57,596.36
126,48,16,41,1,121.76,12.18,109.58
127,48,31,86,3,52.47,5.25,141.66
128,48,89,255,2,61.85,6.18,111.34
129,48,91,260,2,23.66,2.37,42.58
130,49,90,257,1,52.11,0.0,52.11
131,49,8,20,5,193.95,0.0,969.75
132,49,5,11,4,86.21,0.0,344.84
133,50,82,231,1,21.0,0.0,21.0
134,50,34,97,5,89.03,0.0,445.15
135,50,32,88,1,176.3,0.0,176.3
136,50,36,104,2,15.53,0.0,31.06
137,51,65,187,3,151.37,15.14,408.69
138,52,43,122,2,12.67,0.0,25.34
139,52,24,63,5,122.11,0.0,610.55
140,52,2,3,4,81.92,0.0,327.68
141,52,6,16,4,126.76,0.0,507.04
142,53,44,126,3,22.65,0.0,67.95
143,53,42,120,5,72.62,0.0,363.1
144,53,56,161,2,40.28,0.0,80.56
145,53,50,142,4,79.34,0.0,317.36
146,54,65,185,5,154.37,15.44,694.65
147,55,59,169,4,87.83,0.0,351.32
148,55,16,41,1,121.76,0.0,121.76
149,55,32,88,1,176.3,0.0,176.3
150,56,59,168,1,55.83,0.0,55.83
151,56,69,198,1,25.8,0.0,25.8
152,56,71,201,1,15.78,0.0,15.78
153,57,72,205,1,153.23,0.0,153.23
154,57,37,105,1,23.93,0.0,23.93
155,57,37,106,2,18.93,0.0,37.86
156,58,95,272,1,9.88,0.0,9.88
157,59,8,21,1,183.95,18.39,165.56
158,59,8,20,1,193.95,19.39,174.56
159,59,68,196,1,165.66,16.57,149.09
160,60,58,166,2,61.21,0.0,122.42
161,60,73,208,2,198.67,0.0,397.34
162,60,7,17,2,51.06,0.0,102.12
163,61,58,165,1,43.21,0.0,43.21
164,61,4,7,4,84.33,0.0,337.32
165,62,72,204,1,156.23,0.0,156.23
166,63,58,165,1,43.21,4.32,38.89
167,63,92,262,1,62.75,6.28,56.47
168,64,43,124,2,44.67,0.0,89.34
169,64,56,161,2,40.28,0.0,80.56
170,64,47,134,1,97.33,0.0,97.33
171,65,5,14,3,81.21,0.0,243.63
172,65,91,258,3,21.66,0.0,64.98
173,65,11,29,2,41.69,0.0,83.38
174,65,70,199,5,132.33,0.0,661.65
175,66,10,27,1,236.5,0.0,236.5
176,67,59,167,1,55.83,0.0,55.83
177,68,22,59,4,148.97,0.0,595.88
178,69,82,231,3,21.0,0.0,63.0
179,70,44,127,4,22.65,2.27,81.52
180,70,25,66,4,136.29,13.63,490.64
181,70,77,216,5,190.3,19.03,856.35
182,70,17,46,3,83.41,8.34,225.21
183,71,49,138,2,20.68,0.0,41.36
184,71,94,271,2,24.87,0.0,49.74
185,72,45,128,1,29.45,0.0,29.45
186,73,4,7,3,84.33,8.43,227.7
187,74,45,128,1,29.45,2.94,26.51
188,75,2,4,2,86.92,0.0,173.84
189,75,4,9,1,99.33,0.0,99.33
190,76,49,139,5,38.68,0.0,193.4
191,76,16,42,3,126.76,0.0,380.28
192,76,8,21,2,183.95,0.0,367.9
193,77,23,62,4,48.88,0.0,195.52
194,77,10,27,3,236.5,0.0,709.5
195,78,91,261,2,23.66,0.0,47.32
196,79,99,284,1,49.51,0.0,49.51
197,79,27,71,1,12.55,0.0,12.55
198,79,72,205,2,153.23,0.0,306.46
199,80,18,48,4,93.27,0.0,373.08
200,80,7,17,2,51.06,0.0,102.12
201,80,1,2,1,188.05,0.0,188.05
202,80,39,111,5,68.78,0.0,343.9
203,80,8,20,1,193.95,0.0,193.95
204,80,20,53,1,75.61,0.0,75.61
205,81,32,91,2,186.3,0.0,372.6
206,81,4,7,2,84.33,0.0,168.66
207,82,40,114,1,128.52,12.85,115.67
208,83,26,69,1,64.15,0.0,64.15
209,84,46,132,2,102.22,0.0,204.44
210,84,77,217,3,190.3,0.0,570.9
211,85,40,114,4,128.52,0.0,514.08
212,85,61,174,1,72.85,0.0,72.85
213,86,53,149,1,44.71,4.47,40.24
214,86,8,20,2,193.95,19.39,349.12
215,86,20,52,2,65.61,6.56,118.1
216,86,51,145,3,51.92,5.19,140.19
217,86,11,29,4,41.69,4.17,150.08
218,87,41,117,1,22.66,2.27,20.39
219,88,78,219,1,80.43,0.0,80.43
220,89,5,14,1,81.21,0.0,81.21
221,90,22,58,1,138.97,0.0,138.97
222,90,8,21,1,183.95,0.0,183.95
223,91,51,144,2,19.92,0.0,39.84
224,91,26,70,1,69.15,0.0,69.15
225,91,2,4,1,86.92,0.0,86.92
