return_id,order_id,return_date,total_refund_amount
1,3,2022-01-04,122.86
2,4,2022-01-20,183.4
3,6,2022-01-27,93.36
4,7,2022-01-22,224.67
5,8,2022-01-10,58.74
6,19,2022-01-18,35.76
7,21,2022-01-13,79.24
8,24,2022-01-25,59.61
9,25,2022-01-17,120.42
10,31,2022-01-12,132.02
11,32,2022-01-14,57.71
12,38,2022-02-02,79.25
13,39,2022-01-30,251.92
14,40,2022-01-29,169.72
15,41,2022-02-03,72.87
16,54,2022-01-28,146.65
17,58,2022-02-04,9.39
18,59,2022-02-15,174.75
19,60,2022-02-05,58.15
20,60,2022-01-26,377.48
21,61,2022-01-26,41.05
22,64,2022-02-11,92.46
23,65,2022-02-13,154.3
24,66,2022-02-21,224.67
25,78,2022-02-01,22.48
26,80,2022-02-23,184.25
27,86,2022-02-26,42.47
28,86,2022-02-21,184.25
29,86,2022-02-22,39.61
30,91,2022-02-24,266.25
31,97,2022-02-12,29.72
32,100,2022-02-14,14.75
33,102,2022-02-13,311.8
34,102,2022-02-12,116.0
35,106,2022-02-17,41.05
36,109,2022-02-08,106.52
37,110,2022-03-02,153.15
38,111,2022-02-28,48.51
39,113,2022-02-14,402.8
40,115,2022-02-20,128.86
41,122,2022-02-16,126.84
42,126,2022-02-18,39.61
43,132,2022-03-05,37.59
44,142,2022-03-18,212.34
45,142,2022-02-19,97.02
46,150,2022-02-21,36.44
47,150,2022-03-11,81.42
48,151,2022-03-17,154.53
49,151,2022-02-28,186.72
50,152,2022-03-19,94.36
51,174,2022-03-25,25.24
52,175,2022-03-20,371.78
53,188,2022-03-26,66.71
54,191,2022-04-02,234.96
55,199,2022-03-09,196.78
56,202,2022-03-15,280.42
57,206,2022-03-25,122.86
58,206,2022-03-31,49.85
59,218,2022-04-04,17.84
60,220,2022-04-09,247.71
61,220,2022-03-23,245.2
62,221,2022-04-07,142.74
63,226,2022-03-15,245.2
64,230,2022-03-21,43.04
65,230,2022-03-29,24.01
66,233,2022-04-10,29.72
67,237,2022-03-17,291.18
68,240,2022-03-24,33.88
69,242,2022-04-15,62.73
70,243,2022-03-18,18.92
71,246,2022-04-08,197.76
72,248,2022-03-23,39.61
73,251,2022-04-05,215.49
74,253,2022-03-30,77.82
75,257,2022-04-05,118.83
76,270,2022-03-30,128.76
77,274,2022-03-30,69.72
78,277,2022-04-17,58.76
79,277,2022-04-24,106.17
80,285,2022-04-18,49.85
81,291,2022-04-28,205.25
82,292,2022-03-31,135.3
83,299,2022-04-24,202.4
84,302,2022-04-24,408.5
85,306,2022-04-19,62.86
86,312,2022-04-07,45.46
87,313,2022-04-06,368.5
88,314,2022-04-08,980.8
89,317,2022-04-10,196.78
90,320,2022-04-21,120.42
91,322,2022-04-24,42.44
92,325,2022-04-14,17.23
93,326,2022-05-03,183.4
94,329,2022-04-12,366.8
95,333,2022-04-29,88.61
96,339,2022-04-14,133.09
97,341,2022-04-12,88.75
98,349,2022-05-01,183.4
99,355,2022-04-30,147.84
100,356,2022-05-13,233.46
101,357,2022-04-30,75.36
102,359,2022-05-12,106.17
103,361,2022-05-13,400.55
104,364,2022-04-20,660.1
105,381,2022-05-17,83.99
106,384,2022-04-22,53.99
107,388,2022-05-20,182.53
108,391,2022-04-29,295.68
109,396,2022-05-20,88.61
110,404,2022-05-22,119.98
111,406,2022-05-04,28.35
112,406,2022-05-25,119.76
113,415,2022-05-17,230.95
114,417,2022-05-09,285.48
115,419,2022-05-18,146.65
116,424,2022-05-22,141.52
117,425,2022-05-13,39.9
118,427,2022-05-15,325.48
119,434,2022-05-25,121.88
120,434,2022-05-12,20.79
121,444,2022-05-30,18.92
122,445,2022-05-08,394.5
123,449,2022-05-08,35.03
124,450,2022-05-23,253.68
125,451,2022-06-01,48.14
126,456,2022-05-20,212.16
127,457,2022-05-23,61.42
128,459,2022-06-03,38.62
129,460,2022-05-23,203.5
130,460,2022-05-12,63.51
131,461,2022-05-21,107.98
132,462,2022-05-25,78.9
133,466,2022-06-10,17.84
134,470,2022-06-02,145.59
135,474,2022-06-01,178.65
136,486,2022-05-17,83.99
137,499,2022-06-08,17.29
138,500,2022-06-17,129.48
139,501,2022-05-25,53.99
140,506,2022-06-02,377.48
141,507,2022-05-30,223.5
142,519,2022-06-07,142.74
143,520,2022-06-07,115.67
144,521,2022-06-09,119.98
145,525,2022-06-16,70.14
146,533,2022-06-07,58.76
147,533,2022-06-06,46.44
148,533,2022-06-10,69.18
149,541,2022-06-24,182.53
150,544,2022-06-05,42.47
151,547,2022-06-05,69.18
152,547,2022-06-14,157.8
153,550,2022-06-09,24.08
154,552,2022-06-07,43.12
155,552,2022-06-12,144.42
156,556,2022-07-03,39.61
157,559,2022-06-28,55.46
158,559,2022-07-01,43.06
159,560,2022-06-25,106.17
160,560,2022-06-30,71.83
161,565,2022-06-14,77.82
162,566,2022-06-08,36.75
163,569,2022-06-08,45.46
164,573,2022-06-25,36.2
165,575,2022-06-14,787.12
166,576,2022-06-22,71.83
167,581,2022-06-30,140.21
168,584,2022-06-24,101.75
169,587,2022-06-16,371.78
170,592,2022-06-18,178.65
171,593,2022-07-02,78.9
172,594,2022-06-20,184.25
173,596,2022-06-20,66.58
174,610,2022-07-02,530.97
175,620,2022-07-15,58.03
176,622,2022-07-11,30.71
177,622,2022-07-07,245.2
178,623,2022-07-08,196.78
179,626,2022-06-29,167.4
180,626,2022-07-08,280.08
181,626,2022-06-25,58.74
182,627,2022-06-29,184.25
183,631,2022-07-08,182.53
184,633,2022-07-04,25.06
185,636,2022-07-01,524.25
186,640,2022-07-10,62.86
187,641,2022-07-20,76.54
188,652,2022-07-14,21.51
189,654,2022-06-27,48.95
190,658,2022-06-30,24.01
191,661,2022-07-02,44.25
192,663,2022-07-26,280.42
193,663,2022-07-17,138.34
194,668,2022-07-05,177.22
195,669,2022-07-26,55.37
196,674,2022-07-27,765.75
197,677,2022-07-17,177.22
198,677,2022-07-05,4.74
199,679,2022-07-12,128.76
200,680,2022-07-10,16.37
201,681,2022-07-02,53.52
202,683,2022-07-12,354.44
203,690,2022-07-25,245.2
204,695,2022-07-30,71.83
205,699,2022-07-09,311.8
206,703,2022-07-24,82.57
207,704,2022-07-16,238.92
208,706,2022-07-23,106.17
209,710,2022-08-06,245.2
210,715,2022-07-22,48.51
211,727,2022-07-25,64.56
212,729,2022-08-05,251.92
213,733,2022-08-04,36.94
214,734,2022-08-11,81.9
215,735,2022-07-20,432.09
216,736,2022-08-01,66.71
217,737,2022-07-14,80.11
218,742,2022-07-25,65.34
219,748,2022-08-06,727.95
220,756,2022-08-13,51.92
221,761,2022-07-21,14.34
222,768,2022-08-18,34.58
223,768,2022-07-23,238.92
224,777,2022-08-18,174.75
225,783,2022-08-08,542.34
226,786,2022-08-01,176.99
227,789,2022-07-31,88.61
228,791,2022-08-22,264.04
229,791,2022-08-01,231.45
230,794,2022-07-30,79.24
231,802,2022-08-23,78.9
232,804,2022-08-12,206.97
233,808,2022-08-13,84.58
234,810,2022-08-12,167.62
235,815,2022-08-17,49.32
236,817,2022-08-31,62.73
237,824,2022-08-30,280.42
238,846,2022-08-09,36.12
239,849,2022-08-29,17.84
240,857,2022-09-07,58.74
241,863,2022-08-13,29.02
242,866,2022-08-17,154.3
243,869,2022-08-20,145.57
244,883,2022-08-15,185.89
245,884,2022-09-04,169.16
246,885,2022-09-05,145.53
247,890,2022-09-10,71.83
248,906,2022-09-12,129.92
249,911,2022-09-13,122.86
250,920,2022-09-17,135.52
251,921,2022-09-08,88.61
252,929,2022-09-01,432.09
253,932,2022-09-01,72.88
254,932,2022-09-19,33.88
255,935,2022-08-23,150.34
256,938,2022-09-02,94.36
257,945,2022-09-11,193.29
258,947,2022-08-31,279.78
259,949,2022-09-02,84.88
260,950,2022-09-12,47.84
261,950,2022-09-22,155.64
262,955,2022-09-22,72.04
263,958,2022-09-10,53.04
264,959,2022-08-30,178.65
265,968,2022-09-10,47.03
266,970,2022-09-02,24.51
267,973,2022-08-30,63.51
268,973,2022-09-21,295.68
269,977,2022-09-02,124.52
270,980,2022-09-16,809.6
271,981,2022-09-20,57.58
272,984,2022-09-09,182.53
273,985,2022-09-16,79.22
274,989,2022-09-11,115.67
275,989,2022-09-09,165.14
276,996,2022-09-20,74.54
277,1009,2022-10-04,576.12
278,1010,2022-10-01,73.88
279,1018,2022-09-28,251.42
280,1025,2022-09-23,169.72
281,1028,2022-10-06,903.9
282,1030,2022-10-08,366.08
283,1032,2022-09-25,535.95
284,1033,2022-09-24,17.84
285,1037,2022-10-07,231.34
286,1042,2022-09-21,490.4
287,1052,2022-09-28,99.87
288,1054,2022-09-18,64.43
289,1061,2022-10-06,17.29
290,1071,2022-10-05,142.74
291,1075,2022-09-22,65.69
292,1077,2022-09-29,75.08
293,1078,2022-09-28,126.84
294,1087,2022-10-12,201.4
295,1088,2022-10-09,53.26
296,1092,2022-10-14,306.3
297,1093,2022-10-10,120.42
298,1095,2022-10-03,122.86
299,1097,2022-10-10,36.02
300,1103,2022-10-01,396.3
301,1105,2022-10-18,34.86
302,1109,2022-10-19,180.78
303,1113,2022-10-16,36.94
304,1117,2022-09-30,79.26
305,1119,2022-10-12,129.48
306,1120,2022-10-22,245.72
307,1121,2022-10-12,39.61
308,1127,2022-10-22,46.44
309,1127,2022-10-04,366.08
310,1129,2022-10-07,17.98
311,1144,2022-10-19,239.72
312,1145,2022-10-12,58.15
313,1145,2022-10-17,22.48
314,1154,2022-10-17,88.61
315,1159,2022-10-10,122.86
316,1160,2022-10-20,10.0
317,1168,2022-11-02,224.67
318,1170,2022-10-23,115.67
319,1181,2022-10-16,67.76
320,1198,2022-11-02,253.68
321,1205,2022-10-18,293.3
322,1210,2022-11-14,39.61
323,1214,2022-11-13,94.36
324,1224,2022-10-21,150.16
