SourceName,Month,Year,BaseCost,SpikeCost,MonthlyCost,IsSpike
LinkedIn,2023-01,2023,7800,0,7800,No
Job Board,2023-01,2023,2800,0,2800,No
Agency,2023-01,2023,14000,0,14000,No
Career Site,2023-01,2023,800,0,800,No
GitHub,2023-01,2023,1100,0,1100,No
Indeed,2023-01,2023,2400,0,2400,No
LinkedIn,2023-02,2023,7800,0,7800,No
Job Board,2023-02,2023,2800,0,2800,No
Agency,2023-02,2023,14000,0,14000,No
Career Site,2023-02,2023,800,0,800,No
GitHub,2023-02,2023,1100,0,1100,No
Indeed,2023-02,2023,2400,0,2400,No
LinkedIn,2023-03,2023,7800,3500,11300,Yes
Job Board,2023-03,2023,2800,0,2800,No
Agency,2023-03,2023,14000,0,14000,No
Career Site,2023-03,2023,800,0,800,No
GitHub,2023-03,2023,1100,0,1100,No
Indeed,2023-03,2023,2400,0,2400,No
LinkedIn,2023-04,2023,7800,0,7800,No
Job Board,2023-04,2023,2800,0,2800,No
Agency,2023-04,2023,14000,0,14000,No
Career Site,2023-04,2023,800,0,800,No
GitHub,2023-04,2023,1100,0,1100,No
Indeed,2023-04,2023,2400,0,2400,No
LinkedIn,2023-05,2023,7800,0,7800,No
Job Board,2023-05,2023,2800,0,2800,No
Agency,2023-05,2023,14000,0,14000,No
Career Site,2023-05,2023,800,0,800,No
GitHub,2023-05,2023,1100,0,1100,No
Indeed,2023-05,2023,2400,0,2400,No
LinkedIn,2023-06,2023,7800,0,7800,No
Job Board,2023-06,2023,2800,1200,4000,Yes
Agency,2023-06,2023,14000,0,14000,No
Career Site,2023-06,2023,800,0,800,No
GitHub,2023-06,2023,1100,0,1100,No
Indeed,2023-06,2023,2400,0,2400,No
LinkedIn,2023-07,2023,7800,0,7800,No
Job Board,2023-07,2023,2800,0,2800,No
Agency,2023-07,2023,14000,0,14000,No
Career Site,2023-07,2023,800,0,800,No
GitHub,2023-07,2023,1100,0,1100,No
Indeed,2023-07,2023,2400,0,2400,No
LinkedIn,2023-08,2023,7800,0,7800,No
Job Board,2023-08,2023,2800,0,2800,No
Agency,2023-08,2023,14000,0,14000,No
Career Site,2023-08,2023,800,0,800,No
GitHub,2023-08,2023,1100,0,1100,No
Indeed,2023-08,2023,2400,0,2400,No
LinkedIn,2023-09,2023,7800,0,7800,No
Job Board,2023-09,2023,2800,0,2800,No
Agency,2023-09,2023,14000,6000,20000,Yes
Career Site,2023-09,2023,800,0,800,No
GitHub,2023-09,2023,1100,0,1100,No
Indeed,2023-09,2023,2400,0,2400,No
LinkedIn,2023-10,2023,7800,0,7800,No
Job Board,2023-10,2023,2800,0,2800,No
Agency,2023-10,2023,14000,0,14000,No
Career Site,2023-10,2023,800,0,800,No
GitHub,2023-10,2023,1100,0,1100,No
Indeed,2023-10,2023,2400,0,2400,No
LinkedIn,2023-11,2023,7800,0,7800,No
Job Board,2023-11,2023,2800,0,2800,No
Agency,2023-11,2023,14000,0,14000,No
Career Site,2023-11,2023,800,0,800,No
GitHub,2023-11,2023,1100,0,1100,No
Indeed,2023-11,2023,2400,1000,3400,Yes
LinkedIn,2023-12,2023,7800,0,7800,No
Job Board,2023-12,2023,2800,0,2800,No
Agency,2023-12,2023,14000,0,14000,No
Career Site,2023-12,2023,800,0,800,No
GitHub,2023-12,2023,1100,0,1100,No
Indeed,2023-12,2023,2400,0,2400,No
LinkedIn,2024-01,2024,8400,0,8400,No
Job Board,2024-01,2024,2900,0,2900,No
Agency,2024-01,2024,15400,0,15400,No
Career Site,2024-01,2024,800,0,800,No
GitHub,2024-01,2024,1200,900,2100,Yes
Indeed,2024-01,2024,2500,0,2500,No
LinkedIn,2024-02,2024,8400,0,8400,No
Job Board,2024-02,2024,2900,0,2900,No
Agency,2024-02,2024,15400,0,15400,No
Career Site,2024-02,2024,800,0,800,No
GitHub,2024-02,2024,1200,0,1200,No
Indeed,2024-02,2024,2500,0,2500,No
LinkedIn,2024-03,2024,8400,3800,12200,Yes
Job Board,2024-03,2024,2900,0,2900,No
Agency,2024-03,2024,15400,0,15400,No
Career Site,2024-03,2024,800,0,800,No
